Song Name,Artist Name,Album Name,Release Date,Popularity Score,Length (ms),Grammy_won
VIRGO'S GROOVE,Beyoncé,RENAISSANCE,2022-07-29,69.0,368758.0,0
Good Morning Gorgeous,Mary J. Blige,Home Chillout,2023-02-24,0.0,174636.0,0
'Round Midnight,Adam Blackstone,'Round Midnight,2022-09-13,39.0,252616.0,0
Keeps On Fallin’ (with Ella Mai),Babyface,Girls Night Out,2022-10-21,51.0,175290.0,0
DO 4 LOVE,Snoh Aalegra,Spotify Singles,2021-10-29,65.0,189462.0,0
Please Don't Walk Away,nan,,,,,0
Hurt Me So Good,nan,,,,,0
Hrs & Hrs,nan,,,,,0
Good Morning Gorgeous,nan,,,,,0
Big Red Balloon,Nancy Sinatra,Nancy & Lee Again (2009 Remaster),1972-01-01,28.0,257826.0,0
Starfruit,Moonchild,,,,,0
"Drones (feat. Kendrick Lamar, Snoop Dogg, Ty Dolla $ign & James Fauntleroy)",Terrace Martin,DRONES,2021-11-05,34.0,265357.0,0
Operation Funk,Cory Henry,,,,,0
Watch The Sun (feat. Chronixx),PJ Morton,Watch The Sun,2022-04-29,37.0,174065.0,0
Candydrip,Lucky Daye,,,,,0
Breezy (Deluxe),Chris Brown,,,,,0
Good Morning Gorgeous (feat. H.E.R.),Mary J. Blige,Good Morning Gorgeous (Deluxe),2022-05-06,37.0,174636.0,0
F.N.F. (Let's Go),Hitkidd,F.N.F. (Let's Go),2022-05-03,67.0,137579.0,0
pushin P (feat. Young Thug),Gunna,DS4EVER,2022-01-13,74.0,136266.0,0
Vegas (From the Original Motion Picture Soundtrack ELVIS),Doja Cat,Vegas (From the Original Motion Picture Soundtrack ELVIS),2022-05-06,82.0,182906.0,0
"GOD DID (feat. Rick Ross, Lil Wayne, Jay-Z, John Legend & Fridayy)",DJ Khaled,GOD DID,2022-08-26,65.0,501648.0,0
Big Energy - Live,Latto,Big Energy (Live),2022-09-27,19.0,172075.0,0
Die Hard,Kendrick Lamar,Mr. Morale & The Big Steppers,2022-05-13,76.0,239026.0,0
First Class,Jack Harlow,Come Home The Kids Miss You,2022-05-06,80.0,173947.0,0
BEAUTIFUL (feat. Future & SZA),DJ Khaled,GOD DID,2022-08-26,64.0,223232.0,0
WAIT FOR U,nan,,,,,0
Pushin,Nano,Office Music,2019-05-17,10.0,188070.0,0
Tay Godild,Nandi Diden,Whomso Naughty,2023-02-11,0.0,136062.0,0
Churchill Downs,nan,,,,,0
Scrape It Off (feat. Lil Uzi Vert & Don Toliver),Pusha T,It's Almost Dry,2022-04-22,64.0,152612.0,0
Come Home The Kids Miss You,Jack Harlow,,,,,0
I'M ON ONE (feat. Drake),Future,I NEVER LIKED YOU,2022-04-29,67.0,236186.0,0
"GOD DID (feat. Rick Ross, Lil Wayne, Jay-Z, John Legend & Fridayy)",DJ Khaled,GOD DID,2022-08-26,65.0,501648.0,0
Circles Around This Town,Maren Morris,Circles Around This Town,2022-01-07,54.0,195760.0,0
In His Arms,Miranda Lambert,Palomino,2022-04-29,45.0,159546.0,0
Something in the Orange,Zach Bryan,Something in the Orange,2022-04-22,85.0,228013.0,0
HEARTFIRST,Kelsea Ballerini,SUBJECT TO CHANGE,2022-09-23,58.0,187016.0,0
Going Where The Lonely Go,Robert Plant,Raise The Roof,2021-11-19,39.0,250253.0,0
Does He Love You - Revisited,Reba McEntire,Revived Remixed Revisited,2021-10-08,37.0,265053.0,0
Outrunnin' Your Memory,Luke Combs,Growin' Up,2022-06-24,65.0,254746.0,0
Midnight Rider's Prayer,Brothers Osborne,Skeletons (Deluxe),2022-01-21,54.0,176880.0,0
Wishful Drinking (with Sam Hunt),Ingrid Andress,Wishful Drinking (with Sam Hunt),2021-08-02,61.0,194544.0,0
I'll Love You Till The Day I Die,nan,,,,,0
If I Was A Cowboy,nan,,,,,0
I Bet You Think About Me (Taylor's Version) (From The Vault),nan,,,,,0
Doin' This,nan,,,,,0
Circles Around This Town,nan,,,,,0
Humble Quest,Maren Morris,Humble Quest,2022-03-25,47.0,204240.0,0
Ashley McBryde Presents: Lindeville,Ashley McBryde,,,,,0
Palomino,Miranda Lambert,,,,,0
Growin' Up and Gettin' Old,Luke Combs,Growin' Up and Gettin' Old,2023-01-27,76.0,233666.0,0
The Two Feathers,Cheryl B. Engelhardt,The Passenger,2022-04-22,35.0,206573.0,0
Maha Mantra Americana,Madi Das,Mantra Americana,2022-08-18,19.0,349807.0,0
Joy Is,Paul Avgerinos,Joy,2022-06-17,28.0,237466.0,0
Positano Songs,Will Ackerman,,,,,0
Cherokee/Koko,nan,,,,,0
Call Of The Drum,nan,,,,,0
Falling,Nana Mellie,Falling,2018-09-02,25.0,208022.0,0
Keep Holding On,nan,,,,,0
Rounds (Live),nan,,,,,0
Ghost Song,Cécile McLorin Salvant,Ghost Song,2022-03-04,34.0,202792.0,0
Fifty,The Manhattan Transfer,,,,,0
Fade To Black,Carmen Lundy,,,,,0
Call Of The Drum - Live At APPARATUS,The Baylor Project,The Evening : Live At APPARATUS,2022-09-02,9.0,205600.0,0
