Song Name,Artist Name,Album Name,Release Date,Popularity Score,Length (ms),Grammy_won
En Cuarentena,El Gran Combo De Puerto Rico,,,,,0
Love And Regret,Billy Strings,Renewal,2021-09-24,42.0,255093.0,0
Nightflyer,Allison Russell,Outside Child,2021-05-21,48.0,295546.0,0
Same Devil (feat. Brandi Carlile),Brandy Clark,Same Devil (feat. Brandi Carlile),2020-09-23,27.0,187466.0,0
I Wish I Knew How It Would Feel to Be Free (feat. Bela Fleck),The Blind Boys Of Alabama,I Wish I Knew How It Would Feel to Be Free (feat. Bela Fleck),2021-07-23,9.0,285066.0,0
BoredApe,Nano,No Relations,2022-06-10,0.0,134767.0,0
Nightflyer,nan,,,,,0
Diamond Studded Shoes,nan,,,,,0
Call Me A Fool,nan,,,,,0
Avalon,nan,,,,,0
Stand For Myself,Yola,Stand For Myself,2021-07-30,44.0,253253.0,0
Outside Child,Allison Russell,,,,,0
Leftover Feelings,John Hiatt,,,,,0
Downhill From Everywhere,Jackson Browne,Downhill From Everywhere,2021-07-23,23.0,344802.0,0
Renewal,Billy Strings,,,,,0
Music's What I See,Rhonda Vincent,Music Is What I See,2021-05-28,11.0,195893.0,0
Cuttin' Grass - Vol. 1 (Butcher Shoppe Sessions),Sturgill Simpson,,,,,0
Dark as the Night,The Infamous Stringdusters,A Tribute to Bill Monroe,2021-05-28,6.0,143507.0,0
Take Me Back,Kim Wilson,Take Me Back,2020-10-12,2.0,162813.0,0
Be Ready When I Call You,Guy Davis,Be Ready When I Call You,2021-06-04,1.0,312544.0,0
Traveler’s Suite,Blues Traveler,25,2011-01-01,4.0,1221013.0,0
100 Years Of Blues,Elvin Bishop,Elvin Bishop's Big Fun Trio,2017-02-10,4.0,295360.0,0
Fire It Up,Steve Cropper,Fire It Up,2021-04-23,20.0,182620.0,0
Uncivil War,Shemekia Copeland,Uncivil War,2020-10-23,19.0,285990.0,0
Royal Tea,Joe Bonamassa,Royal Tea,2020-10-23,24.0,268733.0,0
Delta Kream,The Black Keys,,,,,0
Blue Heron,Sarah Jarosz,Blue Heron Suite,2021-05-07,32.0,268080.0,0
Wednesday (Extended Edition),Madison Cunningham,,,,,0
Long Violent History,Tyler Childers,Long Violent History,2020-09-18,50.0,190400.0,0
One Night Lonely [Live],Mary Chapin Carpenter,,,,,0
Live In New Orleans!,nan,,,,,0
Corey's Breakdown,Corey Ledet and His Zydeco Band,Destiny,2013-10-12,0.0,258706.0,0
My People,Cha Wa,My People,2021-04-02,30.0,230373.0,0
Bloodstains and Teardrops,Big Chief Monk Boudreaux,Bloodstains & Teardrops,2021-05-21,2.0,257275.0,0
Fetty Chico and The Mack (feat. Mack 10),Spice 1,The Black Bossalini (aka Dr. Bomb from Da Bay),1997-10-23,18.0,245733.0,0
Royal Crown,Jesse Gagnon,(mostly) Key Cuts,2010-02-13,0.0,127560.0,0
Live N Livin,Sean Paul,,,,,0
Positive Vibration,Gramps Morgan,Positive Vibration,2021-07-23,18.0,195853.0,0
Pamoja,Etana,Pamoja,2021-06-25,6.0,225671.0,0
Essence (feat. Tems),Wizkid,Made In Lagos,2020-10-29,70.0,248040.0,0
Blewu,Yo-Yo Ma,Notes for the Future,2021-09-10,19.0,171361.0,0
Pà Pá Pà,Femi Kuti,Legacy +,2021-02-04,8.0,202093.0,0
Do Yourself,Angelique Kidjo,Mother Nature,2021-06-18,26.0,242906.0,0
Made In Lagos: Deluxe Edition,WizKid,,,,,0
Legacy +,Femi Kuti,,,,,0
East West Players Presents: Daniel Ho & Friends Live In Concert,Daniel Ho,,,,,0
"Voice Of Bunbon, Vol. 1",Rocky Dawuni,,,,,0
All One Tribe,1 Tribe Collective,,,,,0
Crayon Kids,Lucky Diaz and the Family Jam Band,Crayon Kids,2021-06-25,6.0,271713.0,0
Black To The Future,Pierce Freelon,Black to the Future,2021-04-30,0.0,215317.0,0
Actívate,123 Andrés,,,,,0
50th Anniversary of the Selma March & A More Perfect Union Speeches: Excerpt 1,Barack Obama,Bound for the Promised Land,2019-12-01,0.0,80026.0,0
8:46,Dave Chappelle,8: 46,2021-09-03,20.0,1562927.0,0
Catching Dreams: Live At Fort Knox Chicago,J. Ivy,,,,,0
Aftermath,LeVar Burton,,,,,0
Zero F***s Given,Kevin Hart,,,,,0
The Greatest Average American,Nate Bargatze,,,,,0
Thanks For Risking Your Life,Lewis Black,,,,,0
Evolution,Chelsea Handler,,,,,0
The Lavell Crawford,Lavell Crawford,The Comedy Vaccine,2021-09-24,9.0,292839.0,0
Andrew Lloyd Webber’s Cinderella,nan,,,,,0
Les Misérables: The Staged Concert (The Sensational 2020 Live Recording),nan,,,,,0
Burt Bacharach and Steven Sater's Some Lovers,nan,,,,,0
Stephen Schwartz's Snapshots,nan,,,,,0
Girl From The North Country,nan,,,,,0
Dear Evan Hansen,nan,,,,,0
Party in the Heights,Moniere Nance,Beats Heart Love,2012-03-05,0.0,246933.0,0
Cruella,nan,,,,,0
One Night In Miami...,nan,,,,,0
Schmigadoon! Episode 1,nan,,,,,0
Respect,Jennifer Hudson,RESPECT (Original Motion Picture Soundtrack),2021-08-13,35.0,222784.0,0
The Mandalorian: Season 2 - Vol. 2 (Chapters 13-16),nan,,,,,0
Dune Buggy,The Nannys,Hollywood Drive In,2014-12-19,0.0,194386.0,0
Bridgerton,nan,,,,,0
Speak Now [From One Night In Miami...],nan,,,,,0
Here I Am (Singing My Way Home) [From Respect],nan,,,,,0
Fight For You [From Judas And The Black Messiah],nan,,,,,0
All I Know So Far [From P!NK: All I Know So Far],nan,,,,,0
Agatha All Along [From WandaVision: Episode 7],nan,,,,,0
Dreaming In Lions: Dreaming In Lions,nan,,,,,0
Concerto For Orchestra: Finale,nan,,,,,0
Cat And Mouse,nan,,,,,0
Black Is Beautiful,Nancy Wilson,The Sound Of Nancy Wilson,1968-09-01,1.0,254666.0,0
The Struggle Within,nan,,,,,0
Infinite Love,Nancy Krebs,One Heart At A Time,2003,0.0,220440.0,0
"For The Love Of A Princess (From \""Braveheart\"")",nan,,,,,0
Chopsticks,nan,,,,,0
Eleanor Rigby,Nana Mouskouri,Nana Mouskouri sings The Beatles,2022-03-18,14.0,253906.0,0
The Christmas Song (Chestnuts Roasting on an Open Fire),Nancy Girard,"All These Years, Vol. VI (Christmas Long Ago)",2019-11-29,0.0,194000.0,0
I Believe A Change Is Gonna Come,Nandes,I Believe A Change Is Gonna Come,2021-01-20,0.0,276011.0,0
The Bottom Line,nan,,,,,0
Serpentine Prison,nan,,,,,0
Zeta,nan,,,,,0
Carnage,nan,,,,,0
American Jackpot / American Girls,nan,,,,,0
77-81,nan,,,,,0
The Future Bites (Limited Edition Box Set),nan,,,,,0
Swimming In Circles,nan,,,,,0
Color Theory,nan,,,,,0
The King Of Gospel Music: The Life And Music Of Reverend James Cleveland,nan,,,,,0
"Etching The Voice: Emile Berliner And The First Commercial Gramophone Discs, 1889-1895",nan,,,,,0
"Creation Never Sleeps, Creation Never Dies: The Willie Dunn Anthology",nan,,,,,0
Beethoven: The Last Three Sonatas,nan,,,,,0
Sign O' The Times (Super Deluxe Edition),nan,,,,,0
Excavated Shellac: An Alternate History Of The World’s Music,nan,,,,,0
"Etching The Voice: Emile Berliner And The First Commercial Gramophone Discs, 1889-1895",nan,,,,,0
Marian Anderson - Beyond The Music: Her Complete RCA Victor Recordings,nan,,,,,0
Dawn,Elijah Nang,Gaijin II Tale of Rai,2020-05-15,9.0,229090.0,0
Notes With Attachments,nan,,,,,0
Hey what are you doing,Nancy Mareen,Originals,2008-01-01,0.0,235013.0,0
Cinema,Gianna Nannini,Amore gigante,2017-10-27,24.0,200960.0,0
Ricky Reed,nan,,,,,0
Hit-Boy,nan,,,,,0
Mike Elizondo,nan,,,,,0
Rogét Chahayed,nan,,,,,0
Talks (Mura Masa Remix),nan,,,,,0
Met Him Last Night (Dave Audé Remix),nan,,,,,0
Inside Out (3SCAPE DRM Remix),nan,,,,,0
Constant Craving (Fashionably Late Remix),nan,,,,,0
Born For Greatness (Cymek Remix),nan,,,,,0
Back To Life (Booker T Kings Of Soul Satta Dub),nan,,,,,0
The Future Bites,nan,,,,,0
Stille Grender,nan,,,,,0
Fine Line,Nancy Burke,The Valley,2022-08-31,0.0,105586.0,0
Amdub Clique,Killa Nan Aka Nanny Devito,Nanny DeVito Aka Killa Nan Presents Alaska's Most Wanted,2020-02-12,0.0,355405.0,0
"Mahler: Symphony No. 8, 'Symphony Of A Thousand'",nan,,,,,0
Beethoven: Symphony No. 9,nan,,,,,0
Beethoven: Cello Sonatas - Hope Amid Tears,nan,,,,,0
The Anime Archetypes Song,Nancy Kepner,Songs for Senpai,2018-04-04,0.0,160533.0,0
Elaine Martone,nan,,,,,0
David Frost,nan,,,,,0
Steven Epstein,nan,,,,,0
Blanton Alspaugh,nan,,,,,0
Strauss: Also Sprach Zarathustra; Scriabin: The Poem Of Ecstasy,nan,,,,,0
Muhly: Throughline,nan,,,,,0
Beethoven: Symphony No. 9,nan,,,,,0
Adams: My Father Knew Charles Ives; Harmonielehre,nan,,,,,0
Poulenc: Dialogues Des Carmélites,nan,,,,,0
Little: Soldier Songs,nan,,,,,0
Janácek: Cunning Little Vixen,nan,,,,,0
Bartók: Bluebeard's Castle,nan,,,,,0
The Singing Guitar,nan,,,,,0
Sheehan: Liturgy Of Saint John Chrysostom,nan,,,,,0
Schnittke: Choir Concerto; Three Sacred Hymns; Pärt: Seven Magnificat-Antiphons,nan,,,,,0
Rising w/The Crossing,nan,,,,,0
It's a Long Way to the Top,Nantucket,Long Way To The Top,1980-01-01,11.0,259680.0,0
Les bruits de Paris,Nanda,Mon premier Pick-up,2007-01-01,0.0,198093.0,0
The Anime Archetypes Song,Nancy Kepner,Songs for Senpai,2018-04-04,0.0,160533.0,0
Akiho: Seven Pillars,nan,,,,,0
"Adams, John Luther: Lines Made By Walking",nan,,,,,0
Cellphone Out of Power,Fed Nance,Cellphone Out of Power,2022-07-22,7.0,131663.0,0
Mak Bach,nan,,,,,0
Beethoven & Brahms: Violin Concertos,nan,,,,,0
Bach: Sonatas & Partitas,nan,,,,,0
An American Mosaic,nan,,,,,0
Unexpected Shadows,nan,,,,,0
Schubert: Winterreise,nan,,,,,0
Dreams Of A New Day - Songs By Black Composers,nan,,,,,0
Confessions,J Nanks,Confessions,2019-02-14,26.0,161951.0,0
6 ROLE PLAYS IN 9 MINUTES Pt.1,Nanou ASMR,6 ROLE PLAYS IN 9 MINUTES,2022-07-26,18.0,272947.0,0
Cerrone: The Arching Path,nan,,,,,0
Berg: Violin Concerto; Seven Early Songs & Three Pieces For Orchestra,nan,,,,,0
"American Originals - A New World, A New Canon",nan,,,,,0
Batiste: Movement 11',nan,,,,,0
"Assad, Clarice & Sérgio, Connors, Dillon, Martin & Skidmore: Archetypes",nan,,,,,0
Andriessen: The Only One,nan,,,,,0
Akiho: Seven Pillars,nan,,,,,0
good 4 u,Olivia Rodrigo,SOUR,2021-05-21,82.0,178146.0,0
MONTERO (Call Me By Your Name),Lil Nas X,MONTERO,2021-09-17,78.0,137704.0,0
Happier Than Ever,Billie Eilish,Happier Than Ever,2021-07-30,82.0,298899.0,0
Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,Justice,2021-03-19,80.0,198081.0,0
I Get A Kick Out Of You,Tony Bennett,Love For Sale (Deluxe),2021-10-01,49.0,213960.0,0
Shot In The Dark,AC/DC,POWER UP,2020-11-13,61.0,185133.0,0
Happier Than Ever: A Love Letter To Los Angeles,Billie Eilish,,,,,0
"Music, Money, Madness...Jimi Hendrix In Maui",nan,,,,,0
David Byrne's American Utopia,nan,,,,,0
Look Who’s Inside Again,Bo Burnham,INSIDE,2021-06-10,68.0,83421.0,0
everything i wanted,Billie Eilish,everything i wanted,2019-11-13,81.0,245425.0,1
Folklore,Taylor Swift,,,,,1
I Can't Breathe,Nana K Music,I Can't Breathe,2020-06-06,0.0,213211.0,1
Megan Thee Stallion,nan,,,,,1
Watermelon Sugar,Harry Styles,Fine Line,2019-12-13,85.0,174000.0,1
Rain On Me (with Ariana Grande),Lady Gaga,Chromatica,2020-05-29,73.0,182200.0,1
American Standard,James Taylor,,,,,1
Future Nostalgia,Dua Lipa,Boys Don't Cry - Retro Wave,2023-02-20,0.0,184881.0,1
10%,KAYTRANADA,BUBBA,2019-12-13,64.0,186680.0,1
Bubba,Kaytranada,,,,,1
Even Us - Live,Snarky Puppy,Live at the Royal Albert Hall,2020-03-13,22.0,492000.0,1
Shameika,Fiona Apple,Fetch The Bolt Cutters,2020-04-17,46.0,248603.0,1
Bum-Rush,Body Count,Carnivore,2020-03-06,25.0,203560.0,1
Stay High,Graham Nancarrow and The Goddamn Saints,Stay High,2020-06-05,1.0,242967.0,1
The Adults Are Talking,The Strokes,The New Abnormal,2020-04-10,75.0,309053.0,1
Fetch The Bolt Cutters,Fiona Apple,Fetch The Bolt Cutters,2020-04-17,45.0,298457.0,1
BLACK PARADE,Beyoncé,BLACK PARADE,2020-06-19,51.0,281272.0,1
Anything For You,Ledisi,The Wild Card,2020-08-28,46.0,257013.0,1
Better Than I Imagined,nan,,,,,1
It Is What It Is,Thundercat,It Is What It Is,2020-04-03,37.0,302951.0,1
Bigger Love,John Legend,Bigger Love,2020-06-19,39.0,170026.0,1
Savage,Megan Thee Stallion,Suga,2020-03-06,66.0,155497.0,1
Lockdown,Anderson .Paak,Lockdown,2020-06-19,51.0,212613.0,1
Savage,Nano Oficial,Savage,2020-07-12,0.0,229080.0,1
King's Disease,Nas,King's Disease,2020-08-21,39.0,111430.0,1
When My Amy Prays,Vince Gill,Okie,2019-08-23,25.0,235746.0,1
"10,000 Hours (with Justin Bieber)",Dan + Shay,"10,000 Hours (with Justin Bieber)",2019-10-04,73.0,167693.0,1
Crowded Table,nan,,,,,1
Wildcard,Miranda Lambert,,,,,1
More Guitar Stories,"Jim ""Kimo"" West",,,,,1
All My Tomorrows,Nancy Wilson,"Yesterday's Love Songs, Today's Blues (Expanded Edition)",1963,16.0,165133.0,1
Secrets Are The Best Stories,Kurt Elling,,,,,1
Trilogy 2,Chick Corea,,,,,1
Data Lords,Maria Schneider Orchestra,,,,,1
Four Questions,Arturo O'Farrill,Four Questions,2020-04-10,1.0,973960.0,1
Moving On,Nanu,Moving On,2020-09-18,6.0,240000.0,1
There Was Jesus,nan,,,,,1
Gospel According To PJ,PJ Morton,,,,,1
Jesus Is Lord,Kanye West,JESUS IS KING,2019-10-25,51.0,49292.0,1
Celebrating Fisk! (The 150th Anniversary Album),Fisk Jubilee Singers,,,,,1
YHLQMDLG,Bad Bunny,,,,,1
Gente en la Calle (feat. Lali),Fito Paez,La Conquista del Espacio,2020-03-13,45.0,239808.0,1
Un Derecho de Nacimiento,Natalia Lafourcade,"Un Canto por México, Vol. 1",2020-05-08,36.0,321120.0,1
40,Grupo Niche,,,,,1
I Remember Everything,John Prine,I Remember Everything,2020-06-11,48.0,163413.0,1
I Remember Everything,nan,,,,,1
World On The Ground,Sarah Jarosz,,,,,1
Long Journey Home,Billy Strings,Me / And / Dad,2022-11-18,46.0,177453.0,1
Rawer Than Raw,Bobby Rush,,,,,1
Have You Lost Your Mind Yet?,Fantastic Negrito,,,,,1
All The Good Times Are Past And Gone,Gillian Welch,All The Good Times,2020-07-10,13.0,234030.0,1
Atmosphere,New Orleans Nightcrawlers,,,,,1
Got To Be Tough,nan,,,,,1
Level Up (Twice as Tall),Burna Boy,Coolin' It,2023-02-23,0.0,268760.0,1
All the Ladies,Joanie Leeds,All the Ladies,2020-04-03,2.0,154560.0,1
"Blowout: Corrupted Democracy, Rogue State Russia, And The Richest, Most Destructive Industry On Earth",Rachel Maddow,,,,,1
Black Mitzvah,Tiffany Haddish,,,,,1
Jagged Little Pill,nan,,,,,1
Jojo Rabbit,nan,,,,,1
Joker,Nandile,Joker,2021-12-17,0.0,120055.0,1
No Time To Die [From No Time To Die],nan,,,,,1
Nancys rubias - Sigue Sigue Sputnik Remix,Nancys Rubias,Rock Para Bailar,2021-05-07,0.0,230680.0,1
Donna Lee,nan,,,,,1
He Won't Hold You,nan,,,,,1
Vols. 11 & 12,nan,,,,,1
Ode To Joy,Nancy Bierma,I Love Being Here With You,2007-05-01,0.0,95266.0,1
Dead Man's Pop,nan,,,,,1
It's Such A Good Feeling: The Best Of Mister Rogers,nan,,,,,1
hyperspace circus,Freek Nannens,Tourists of Delight,2021-04-01,0.0,116874.0,1
Andrew Watt,nan,,,,,1
Roses (Imanbek Remix),nan,,,,,1
Soundtrack Of The American Soldier,nan,,,,,1
"Shostakovich: Symphony No. 13, 'Babi Yar'",nan,,,,,1
David Frost,nan,,,,,1
Ives: Complete Symphonies,nan,,,,,1
Gershwin: Porgy And Bess,nan,,,,,1
Danielpour: The Passion Of Yeshua,nan,,,,,1
Contemporary Voices,nan,,,,,1
Theofanidis: Concerto For Viola And Chamber Orchestra,nan,,,,,1
Smyth: The Prison,nan,,,,,1
"Thomas, M.T.: From The Diary Of Anne Frank & Meditations On Rilke",nan,,,,,1
Rouse: Symphony No. 5,nan,,,,,1
Brown Skin Girl,Beyoncé,,,,,1
Linda Ronstadt: The Sound Of My Voice,Linda Ronstadt,,,,,1
Circles,Post Malone,Hollywood's Bleeding,2019-09-06,82.0,215280.0,0
Say So,Doja Cat,Hot Pink,2019-11-07,75.0,237893.0,0
ROCKSTAR (feat. Roddy Ricch),DaBaby,BLAME IT ON BABY,2020-04-17,75.0,181733.0,0
Savage,Megan Thee Stallion,Suga,2020-03-06,66.0,155497.0,0
Don’t Start Now (Kaytranada Remix),Dua Lipa,Don’t Start Now (Kaytranada Remix),2020-09-11,34.0,267253.0,0
Colors,Black Pumas,Black Pumas,2019-06-21,63.0,246586.0,0
BLACK PARADE,Beyoncé,BLACK PARADE,2020-06-19,51.0,281272.0,0
Hollywood's Bleeding,Post Malone,Hollywood's Bleeding,2019-09-06,74.0,156266.0,0
Chilombo,Jhené Aiko,,,,,0
Black Cat,Black Pumas,Black Pumas (Deluxe Edition),2020-08-28,36.0,196080.0,0
Future Nostalgia,Dua Lipa,Boys Don't Cry - Retro Wave,2023-02-20,0.0,184881.0,0
Women In Music Pt. III,HAIM,,,,,0
Djesse Vol.3,Jacob Collier,,,,,0
Everyday Life,Coldplay,Everyday Life,2019-11-22,61.0,258533.0,0
The Boxer,Nancy Wilson,You and Me,2021-05-07,9.0,283915.0,0
If The World Was Ending,nan,,,,,0
Everything I Wanted,nan,,,,,0
Don't Start Now,nan,,,,,0
Circles 'Round the Moon,Nana Grizol,Love It Love It,2008-05-23,43.0,108666.0,0
Cardigan,nan,,,,,0
Black Parade,nan,,,,,0
Kaytranada,nan,,,,,0
Doja Cat,nan,,,,,0
I Don't Even Smoke,NandoSTL,Good Vibes,2018-11-14,8.0,222511.0,0
Noah Cyrus,nan,,,,,0
Chikava Chikava,Nanditha,Dalavayi (Original Motion Picture Soundtrack),1999-05-21,1.0,279864.0,0
Phoebe Bridgers,nan,,,,,0
Ingrid Andress,nan,,,,,0
cardigan,Taylor Swift,folklore,2020-07-24,82.0,239560.0,0
Don’t Start Now (Kaytranada Remix),Dua Lipa,Don’t Start Now (Kaytranada Remix),2020-09-11,34.0,267253.0,0
everything i wanted,Billie Eilish,everything i wanted,2019-11-13,81.0,245425.0,0
Say So,Doja Cat,Hot Pink,2019-11-07,75.0,237893.0,0
Yummy,Justin Bieber,Para poner en Replay,2023-02-25,0.0,208520.0,0
exile (feat. Bon Iver),Taylor Swift,folklore,2020-07-24,75.0,285634.0,0
Dynamite,BTS,BE,2020-11-20,79.0,199053.0,0
Intentions,Justin Bieber,Pop Mix 5,2023-02-24,0.0,212868.0,0
UN DIA (ONE DAY) (Feat. Tainy),J Balvin,UN DIA (ONE DAY) (Feat. Tainy),2020-07-24,70.0,232253.0,0
Over The Rainbow - From 'Judy' Soundtrack,Renée Zellweger,Over The Rainbow (From 'Judy' Soundtrack),2019-08-30,3.0,215240.0,0
Unfollow The Rules,Rufus Wainwright,Unfollow The Rules,2020-07-10,22.0,404773.0,0
True Love: A Celebration Of Cole Porter,nan,,,,,0
Blue Umbrella,nan,,,,,0
Folklore,Taylor Swift,,,,,0
Fine Line,Harry Styles,Fine Line,2019-12-13,74.0,377960.0,0
Chromatica II,Lady Gaga,Chromatica,2020-05-29,49.0,41866.0,0
Changes,Justin Bieber,Changes,2020-02-14,57.0,135493.0,0
On My Mind,Diplo,Do You Dance?,2021-03-12,64.0,189268.0,0
Both Of Us - Edit,Jayda G,Both Of Us,2020-05-26,59.0,229424.0,0
The Difference,Flume,The Difference,2020-03-11,68.0,139662.0,0
My High,Disclosure,ENERGY (Deluxe),2020-08-28,46.0,294920.0,0
Good Faith,Madeon,,,,,0
ENERGY (Edit),Disclosure,ENERGY (Special Edition),2020-12-18,35.0,230226.0,0
PLANET'S MAD,Baauer,PLANET'S MAD,2020-06-19,20.0,174520.0,0
Kick You When You're Down (16-Bit AC/DC Emulation),Arcade Player,"The Impossible Game Soundtrack, Vol. 52",2021-01-13,0.0,187686.0,0
Axiom,Christian Scott aTunde Adjuah,,,,,0
Americana,Grégoire Maret,,,,,0
Take The Stairs,Black Violin,,,,,0
Chronology Of A Dream: Live At The Village Vanguard,Jon Batiste,,,,,0
Daylight,Grace Potter,Daylight,2019-10-25,17.0,261773.0,0
Stay High,Brittany Howard,Jaime,2019-09-20,50.0,191395.0,0
The Steps,HAIM,Women In Music Pt. III,2021-02-19,48.0,247600.0,0
Kyoto,Phoebe Bridgers,Punisher,2020-06-18,68.0,184524.0,0
Not,Big Thief,Two Hands,2019-10-11,47.0,367093.0,0
BLOODMONEY,Poppy,I Disagree,2020-01-10,54.0,182598.0,0
Executioner’s Tax (Swing Of The Axe) – Live,Power Trip,,,,,0
The In-Between,In This Moment,Mother,2020-03-27,52.0,254811.0,0
Underneath,Code Orange,Underneath,2020-03-13,32.0,279193.0,0
Shameika,nan,,,,,0
All Or Nothing - Fed Nance Soul Treat,Fed Nance,All Or Nothing (Fed Nance Soul Treat),2022-12-09,43.0,126681.0,0
Lost In Yesterday,nan,,,,,0
Kyoto Evening (To Be Continued),Elijah Nang,Travel,2016-12-01,8.0,165957.0,0
Sound & Fury,Sturgill Simpson,,,,,0
Daylight,Grace Potter,Daylight,2019-10-25,17.0,261773.0,0
Kiwanuka,Michael Kiwanuka,,,,,0
A Hero's Death,Fontaines D.C.,A Hero's Death,2020-07-31,33.0,258252.0,0
The Boat I Row,Tame Impala,The Slow Rush B-Sides & Remixes,2022-02-18,62.0,238320.0,0
Jaime,Brittany Howard,,,,,0
Punisher,Phoebe Bridgers,Punisher,2020-06-18,64.0,189622.0,0
Hyperspace,Beck,Hyperspace,2019-11-22,24.0,165309.0,0
See Me,Emily King,See Me,2020-08-26,28.0,210373.0,0
Goat Head,Brittany Howard,Jaime,2019-09-20,26.0,192400.0,0
All I Need (with Mahalia & Ty Dolla $ign),Jacob Collier,Djesse Vol. 3,2020-08-14,50.0,245200.0,0
Lightning & Thunder (feat. John Legend),Jhené Aiko,Chilombo,2020-03-06,46.0,270066.0,0
Distance,Yebba,Dawn,2021-09-10,53.0,255800.0,0
Let Me Go,Mykal Kilgore,A Man Born Black,2019-09-06,18.0,225190.0,0
Wonder What She Thinks of Me,Chloe x Halle,Ungodly Hour,2020-06-12,40.0,211586.0,0
Sit on Down,The Baylor Project,Sit on Down,2020-04-06,6.0,197021.0,0
Collide,nan,,,,,0
Slow Down,Nancy Raygun,Slow Down,2023-01-27,3.0,170000.0,0
SAKNA (don't let it fade away),Nanomake,SAKNA (don't let it fade away),2022-05-20,34.0,142713.0,0
Black Parade,nan,,,,,0
Fuck Yo Feelings,Robert Glasper,Fuck Yo Feelings,2019-10-03,34.0,150000.0,0
Free Nationals,Free Nationals,,,,,0
Ungodly Hour,Chloe x Halle,Ungodly Hour,2020-06-03,57.0,255893.0,0
Chilombo,Jhené Aiko,,,,,0
All Rise,Gregory Porter,,,,,0
to feel love/d,Luke James,,,,,0
Take Time (Interlude),Giveon,When It's All Said And Done... Take Time,2021-03-12,44.0,45282.0,0
Happy 2 Be Here,Ant Clemons,,,,,0
WHATS POPPIN,Jack Harlow,Sweet Action,2020-03-13,73.0,139741.0,0
Dior,Pop Smoke,Meet The Woo,2019-07-26,79.0,216386.0,0
The Bigger Picture,Lil Baby,The Bigger Picture,2020-06-12,65.0,252728.0,0
BOP,DaBaby,KIRK,2019-09-27,71.0,159714.0,0
Deep Reverence (feat. Nipsey Hussle),Big Sean,Detroit 2,2020-09-04,52.0,231351.0,0
Laugh Now Cry Later (feat. Lil Durk),Drake,Laugh Now Cry Later (feat. Lil Durk),2020-08-14,75.0,261492.0,0
HIGHEST IN THE ROOM,Travis Scott,HIGHEST IN THE ROOM,2019-10-04,78.0,175720.0,0
The Box,Roddy Ricch,Please Excuse Me for Being Antisocial,2019-12-06,78.0,196652.0,0
ROCKSTAR (feat. Roddy Ricch),DaBaby,BLAME IT ON BABY,2020-04-17,75.0,181733.0,0
ROCKSTAR LIF3,Nana K,ROCKSTAR LIF3,2022-05-20,3.0,123271.0,0
The Bigger Picture,nan,,,,,0
Laugh Now Cry Later,nan,,,,,0
The Boxer,Nancy Wilson,You and Me,2021-05-07,9.0,283915.0,0
The Allegory,"Royce 5’9""",,,,,0
A.P.I.D.T.A.,Jay Electronica,A Written Testimony,2020-03-13,44.0,328365.0,0
Alfredo,Freddie Gibbs,,,,,0
Black Habits I (feat. Jackie Gouché),D Smoke,Black Habits,2020-02-07,35.0,267161.0,0
Bluebird,Miranda Lambert,Wildcard,2019-11-01,65.0,209760.0,0
Black Like Me,Mickey Guyton,Black History Month: Country,2023-02-22,0.0,210200.0,0
Who You Thought I Was,Brandy Clark,Your Life is a Record (Deluxe Edition),2021-03-05,41.0,189173.0,0
Stick That In Your Country Song,Eric Church,Stick That In Your Country Song,2020-06-25,49.0,228706.0,0
Sugar Coat,Little Big Town,Nightfall,2020-01-17,30.0,219840.0,0
Some People Do,Old Dominion,Old Dominion,2019-10-25,52.0,196266.0,0
Ocean,Lady A,Ocean,2019-11-15,57.0,210113.0,0
All Night,Brothers Osborne,Skeletons,2020-10-09,53.0,168400.0,0
Some People Do,nan,,,,,0
More Hearts Than Mine,nan,,,,,0
Bones in the Sand,Nancy McCallion,Go to Ground,2020-11-01,0.0,263053.0,0
Bluebird Through My Window,Nancy Stewart,Sing With Our Kids Felt Board Songs,2019-03-27,8.0,93146.0,0
Nightfall,Little Big Town,Nightfall,2020-01-17,32.0,201093.0,0
Never Will,Ashley McBryde,Never Will,2020-04-03,28.0,236240.0,0
Your Life Is A Record,Brandy Clark,,,,,0
Lady Like,Ingrid Andress,Lady Like,2020-03-27,55.0,194786.0,0
Meditations,Cory Wong,,,,,0
Form//Less,Superposition,,,,,0
Periphery,Priya Darshini,,,,,0
Songs From The Bardo,Laurie Anderson,,,,,0
Guinevere,nan,,,,,0
Moe Honk,nan,,,,,0
Celia,nan,,,,,0
Pachamama,Nancy Bloom,Spirits Walking the Wind,2000-01-01,0.0,294493.0,0
Holy Room - Live,Somi,Holy Room: Live at Alte Oper With Frankfurt Radio Big Band,2020-07-24,6.0,495931.0,0
What's The Hurry,Kenny Washington,,,,,0
Modern Ancestors,Carmen Lundy,,,,,0
Ona,Thana Alexa,Ona,2020-03-27,5.0,492718.0,0
Waiting Game,Terri Lyne Carrington + Social Science,,,,,0
RoundAgain,Redman Mehldau McBride Blade,,,,,0
Happening: Live At The Village Vanguard,Gerald Clayton,,,,,0
On The Tender Spot Of Every Calloused Moment,Ambrose Akinmusire,,,,,0
Songs You Like A Lot,John Hollenbeck,,,,,0
MONK'estra Plays John Beasley,John Beasley,,,,,0
The Intangible Between,Orrin Evans,,,,,0
Dialogues On Race,Gregg August,,,,,0
